title	authors	journal	year	pmid	pmcid	doi
The applications of machine learning to predict the forming of chemically stable amorphous solid dispersions prepared by hot-melt extrusion.	Jiang J, Lu A, Ma X, Ouyang D, Williams RO.	International journal of pharmaceutics: X	2023	36798832	PMC9925947	10.1016/j.ijpx.2023.100164
Predicting COVID-19 Cases From Atmospheric Parameters Using Machine Learning Approach.	Ogunjo ST, Fuwape IA, Rabiu AB.	GeoHealth	2022	35415381	PMC8983058	10.1029/2021gh000509
Fine-grained Patient Similarity Measuring using Contrastive Graph Similarity Networks.	Liu Y, Zhang Z, Qin S, Salim FD, Bian J, Jimeno Yepes A.	Proceedings. IEEE International Conference on Healthcare Informatics	2024	39698046	PMC11654828	10.1109/ichi61247.2024.00009
Convolutional neural networks can decode eye movement data: A black box approach to predicting task from eye movements.	Cole ZJ, Kuntzelman KM, Dodd MD, Johnson MR.	Journal of vision	2021	34264288	PMC8288051	10.1167/jov.21.7.9
Integrating unsupervised and supervised learning techniques to predict traumatic brain injury: A population-based study.	Zulbayar S, Mollayeva T, Colantonio A, Chan V, Escobar M.	Intelligence-based medicine	2023	38222038	PMC10785655	10.1016/j.ibmed.2023.100118
Validation of an Artificial Intelligence Algorithm for Diagnostic Prediction of Coronary Disease: Comparison with a Traditional Statistical Model.	Correia L, Lopes D, Porto JV, Lacerda YF, Correia VCA, Bagano GO, Pontes BSB, Melo MHV, Silva TEA, Meireles AC.	Arquivos brasileiros de cardiologia	2021	35613162	PMC8757162	10.36660/abc.20200302
Machine learning-enhanced HRCT analysis for diagnosis and severity assessment in pediatric asthma.	De Filippo M, Fasola S, De Matteis F, Gorone MSP, Preda L, Votto M, Malizia V, Marseglia GL, La Grutta S, Licari A.	Pediatric pulmonology	2024	39041906	PMC11601025	10.1002/ppul.27183
Machine Learning as a Precision-Medicine Approach to Prescribing COVID-19 Pharmacotherapy with Remdesivir or Corticosteroids.	Lam C, Siefkas A, Zelin NS, Barnes G, Dellinger RP, Vincent JL, Braden G, Burdick H, Hoffman J, Calvert J, Mao Q, Das R.	Clinical therapeutics	2021	33865643	PMC8006198	10.1016/j.clinthera.2021.03.016
Discovery and validation of a colorectal cancer classifier in a new blood test with improved performance for high-risk subjects.	Croner LJ, Dillon R, Kao A, Kairs SN, Benz R, Christensen IJ, Nielsen HJ, Blume JE, Wilcox B.	Clinical proteomics	2017	28769740	PMC5526294	10.1186/s12014-017-9163-z
A machine-learning approach for long-term prediction of experimental cardiac action potential time series using an autoencoder and echo state networks.	Shahi S, Fenton FH, Cherry EM.	Chaos (Woodbury, N.Y.)	2022	35778132	PMC9188460	10.1063/5.0087812
Quantitative bone imaging biomarkers and joint space analysis of the articular Fossa in temporomandibular joint osteoarthritis using artificial intelligence models.	Mackie T, Al Turkestani N, Bianchi J, Li T, Ruellas A, Gurgel M, Benavides E, Soki F, Cevidanes L.	Frontiers in dental medicine	2022	36404987	PMC9673279	10.3389/fdmed.2022.1007011
Detection of abnormal left ventricular geometry in patients without cardiovascular disease through machine learning: An ECG-based approach.	Angelaki E, Marketou ME, Barmparis GD, Patrianakos A, Vardas PE, Parthenakis F, Tsironis GP.	Journal of clinical hypertension (Greenwich, Conn.)	2021	33507615	PMC8678829	10.1111/jch.14200
Machine learning models for non-invasive glucose measurement: towards diabetes management in smart healthcare.	Agrawal H, Jain P, Joshi AM.	Health and technology	2022	35996737	PMC9386205	10.1007/s12553-022-00690-7
Postoperative Apnea-Hypopnea Index Prediction of Velopharyngeal Surgery Based on Machine Learning.	You J, Li J, Zhou Y, Cao X, Zhao C, Zhang Y, Ye J.	OTO open	2025	39776760	PMC11705500	10.1002/oto2.70061
Embeddings from protein language models predict conservation and variant effects.	Marquet C, Heinzinger M, Olenyi T, Dallago C, Erckert K, Bernhofer M, Nechaev D, Rost B.	Human genetics	2022	34967936	PMC8716573	10.1007/s00439-021-02411-y
Geometric Deep learning Prioritization and Validation of Cannabis Phytochemicals as Anti-HCV Non-nucleoside Direct-acting Inhibitors.	Charles S, Edgar MP.	Biomedical engineering and computational biology	2024	39678171	PMC11638990	10.1177/11795972241306881
Establishment and validation of multiclassification prediction models for pulmonary nodules based on machine learning.	Liu Q, Lv X, Zhou D, Yu N, Hong Y, Zeng Y.	The clinical respiratory journal	2024	38736274	PMC11089274	10.1111/crj.13769
Application of deep convolutional neural networks in classification of protein subcellular localization with microscopy images.	Xiao M, Shen X, Pan W.	Genetic epidemiology	2019	30614068	PMC6416075	10.1002/gepi.22182
Development of Machine Learning Models for Predicting the 1-Year Risk of Reoperation After Lower Limb Oncological Resection and Endoprosthetic Reconstruction Based on Data From the PARITY Trial.	Deng J, Moskalyk M, Shammas-Toma M, Aoude A, Ghert M, Bhatnagar S, Bozzo A.	Journal of surgical oncology	2024	39257289	PMC11849712	10.1002/jso.27854
A deep-learning system predicts glaucoma incidence and progression using retinal photographs.	Li F, Su Y, Lin F, Li Z, Song Y, Nie S, Xu J, Chen L, Chen S, Li H, Xue K, Che H, Chen Z, Yang B, Zhang H, Ge M, Zhong W, Yang C, Chen L, Wang F, Jia Y, Li W, Wu Y, Li Y, Gao Y, Zhou Y, Zhang K, Zhang X.	The Journal of clinical investigation	2022	35642636	PMC9151694	10.1172/jci157968
Multi-Head Graph Convolutional Network for Structural Connectome Classification.	Kazi A, Mora J, Fischl B, Dalca AV, Aganj I.	Graphs in biomedical image analysis, and overlapped cell on tissue dataset for histopathology : 5th MICCAI Workshop, GRAIL 2023 and 1st MICCAI Challenge, OCELOT 2023, held in conjunction with MICCAI 2023, Vancouver, BC, Canada, Septembe...	2024	38665679	PMC11044650	10.1007/978-3-031-55088-1_3
Predicting antimicrobial resistance in Pseudomonas aeruginosa with machine learning-enabled molecular diagnostics.	Khaledi A, Weimann A, Schniederjans M, Asgari E, Kuo TH, Oliver A, Cabot G, Kola A, Gastmeier P, Hogardt M, Jonas D, Mofrad MR, Bremges A, McHardy AC, Häussler S.	EMBO molecular medicine	2020	32048461	PMC7059009	10.15252/emmm.201910264
Reinforcement learning of biomimetic navigation: a model problem for sperm chemotaxis.	Mohamed O, Tsang ACH.	The European physical journal. E, Soft matter	2024	39331274	PMC11436411	10.1140/epje/s10189-024-00451-6
Identification and prediction of association patterns between nutrient intake and anemia using machine learning techniques: results from a cross-sectional study with university female students from Palestine.	Qasrawi R, Badrasawi M, Al-Halawa DA, Polo SV, Khader RA, Al-Taweel H, Alwafa RA, Zahdeh R, Hahn A, Schuchardt JP.	European journal of nutrition	2024	38512358	PMC11329411	10.1007/s00394-024-03360-8
Prediction of Venous Thromboembolism in Diverse Populations Using Machine Learning and Structured Electronic Health Records.	Chen R, Petrazzini BO, Malick WA, Rosenson RS, Do R.	Arteriosclerosis, thrombosis, and vascular biology	2024	38095106	PMC10872966	10.1161/atvbaha.123.320331
Predicting future onset of depression among middle-aged adults with no psychiatric history.	Bilu Y, Kalkstein N, Gilboa-Schechtman E, Akiva P, Zalsman G, Itzhaky L, Atzil-Slonim D.	BJPsych open	2023	37218301	PMC10228240	10.1192/bjo.2023.62
Differentiating patients admitted primarily due to coronavirus disease 2019 (COVID-19) from those admitted with incidentally detected severe acute respiratory syndrome corona-virus type 2 (SARS-CoV-2) at hospital admission: A cohort analysis of German hospital records.	Strobl R, Misailovski M, Blaschke S, Berens M, Beste A, Krone M, Eisenmann M, Ebert S, Hoehn A, Mees J, Kaase M, Chackalackal DJ, Koller D, Chrampanis J, Kosub JM, Srivastava N, Albashiti F, Groß U, Fischer A, Grill E, Scheithauer S.	Infection control and hospital epidemiology	2024	38351873	PMC11102825	10.1017/ice.2024.3
Prediction of breath-holding spells based on electrocardiographic parameters using machine-learning model.	Khalilian MR, Tofighi S, Attar EZ, Nikkhah A, Hajipour M, Ghazavi M, Samimi S.	Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc	2024	37935110	PMC10770810	10.1111/anec.13093
Identification of the Hub Genes Involved in Stem Cell Treatment for Intervertebral Disc Degeneration: A Conjoint Analysis of Single-Cell and Machine Learning.	Chen J, Qi F, Li G, Deng Q, Zhang C, Li X, Zhang Y.	Stem cells international	2023	36733465	PMC9889147	10.1155/2023/7055264
Predicting diabetes self-management education engagement: machine learning algorithms and models.	Jiang X, Lv G, Li M, Yuan J, Lu ZK.	BMJ open diabetes research & care	2025	39965870	PMC11836835	10.1136/bmjdrc-2024-004632
Quality Improvement Study Using a Machine Learning Mortality Risk Prediction Model Notification System on Advance Care Planning in High-Risk Patients.	Walter J, Ma J, Platt A, Acker Y, Sendak M, Gao M, Gardner M, Balu S, Setji N.	Journal of Brown hospital medicine	2024	40026409	PMC11864393	10.56305/001c.120907
Identification of biomarkers related to tryptophan metabolism in osteoarthritis.	Yang J, Zhou P, Xu T, Bo K, Zhu C, Wang X, Chang J.	Biochemistry and biophysics reports	2024	39040542	PMC11261530	10.1016/j.bbrep.2024.101763
Optimizing Automated Hematoma Expansion Classification from Baseline and Follow-Up Head Computed Tomography.	Tran AT, Desser D, Zeevi T, Abou Karam G, Zietz J, Dell'Orco A, Chen MC, Malhotra A, Qureshi AI, Murthy SB, Majidi S, Falcone GJ, Sheth KN, Nawabi J, Payabvash S.	Applied sciences (Basel, Switzerland)	2025	40046237	PMC11882137	10.3390/app15010111
An autophagy-related prognostic signature associated with immune microenvironment features of uveal melanoma.	Zheng Z, Zhang L, Tu Z, Deng Y, Yin X.	Bioscience reports	2021	33682883	PMC7982771	10.1042/bsr20203812
Stacking model framework reveals clinical biochemical data and dietary behavior features associated with type 2 diabetes: A retrospective cohort study.	Fu Y, Liang X, Yang X, Li L, Meng L, Wei Y, Huang D, Qin Y.	APL bioengineering	2024	39583336	PMC11584240	10.1063/5.0207658
Classification of porcine reproductive and respiratory syndrome clinical impact in Ontario sow herds using machine learning approaches.	Chadha A, Dara R, Pearl DL, Gillis D, Rosendal T, Poljak Z.	Frontiers in veterinary science	2023	37351555	PMC10284593	10.3389/fvets.2023.1175569
Predicting lying, sitting and walking at different intensities using smartphone accelerometers at three different wear locations: hands, pant pockets, backpack.	Khataeipour SJ, Anaraki JR, Bozorgi A, Rayner M, A Basset F, Fuller D.	BMJ open sport & exercise medicine	2022	35601137	PMC9086604	10.1136/bmjsem-2021-001242
Binswanger's disease: biomarkers in the inflammatory form of vascular cognitive impairment and dementia.	Rosenberg GA.	Journal of neurochemistry	2018	28902409	PMC5849485	10.1111/jnc.14218
Using machine learning to construct nomograms for patients with metastatic colon cancer.	Zhao B, Gabriel RA, Vaida F, Eisenstein S, Schnickel GT, Sicklick JK, Clary BM.	Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland	2020	31991031	PMC8722819	10.1111/codi.14991
Machine Learning and Prediction of All-Cause Mortality in COPD.	Moll M, Qiao D, Regan EA, Hunninghake GM, Make BJ, Tal-Singer R, McGeachie MJ, Castaldi PJ, San Jose Estepar R, Washko GR, Wells JM, LaFon D, Strand M, Bowler RP, Han MK, Vestbo J, Celli B, Calverley P, Crapo J, Silverman EK, Hobbs BD, Cho MH.	Chest	2020	32353417	PMC7478228	10.1016/j.chest.2020.02.079
Semisupervised transfer learning for evaluation of model classification performance.	Wang L, Wang X, Liao KP, Cai T.	Biometrics	2024	38465982	PMC10926267	10.1093/biomtc/ujae002
Challenges in interpreting allergen microarrays in relation to clinical symptoms: a machine learning approach.	Prosperi MC, Belgrave D, Buchan I, Simpson A, Custovic A.	Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology	2014	24131308	PMC4282342	10.1111/pai.12139
Profiles of autism characteristics in thirteen genetic syndromes: a machine learning approach.	Bozhilova N, Welham A, Adams D, Bissell S, Bruining H, Crawford H, Eden K, Nelson L, Oliver C, Powis L, Richards C, Waite J, Watson P, Rhys H, Wilde L, Woodcock K, Moss J.	Molecular autism	2023	36639821	PMC9837969	10.1186/s13229-022-00530-5
Application of convolutional neural networks for distal radio-ulnar fracture detection on plain radiographs in the emergency room.	Kim MW, Jung J, Park SJ, Park YS, Yi JH, Yang WS, Kim JH, Cho BJ, Ha SO.	Clinical and experimental emergency medicine	2021	34237817	PMC8273672	10.15441/ceem.20.091
A preliminary study of sperm identification in microdissection testicular sperm extraction samples with deep convolutional neural networks.	Wu DJ, Badamjav O, Reddy VV, Eisenberg M, Behr B.	Asian journal of andrology	2021	33106465	PMC7991821	10.4103/aja.aja_66_20
A data-driven machine learning algorithm to predict the effectiveness of inulin intervention against type II diabetes.	Yang S, Weiskirchen R, Zheng W, Hu X, Zou A, Liu Z, Wang H.	Frontiers in nutrition	2024	39839293	PMC11747270	10.3389/fnut.2024.1520779
Predicting Sarcopenia of Female Elderly from Physical Activity Performance Measurement Using Machine Learning Classifiers.	Ko JB, Kim KB, Shin YS, Han H, Han SK, Jung DY, Hong JS.	Clinical interventions in aging	2021	34611396	PMC8485854	10.2147/cia.s323761
Complemental Value of Microstructural and Macrostructural MRI in the Discrimination of Neurodegenerative Parkinson Syndromes.	Schröter N, Arnold PG, Hosp JA, Reisert M, Rijntjes M, Kellner E, Jost WH, Weiller C, Urbach H, Rau A.	Clinical neuroradiology	2024	38289378	PMC11130007	10.1007/s00062-023-01377-w
Metabolic Syndrome Prediction Using Machine Learning Models with Genetic and Clinical Information from a Nonobese Healthy Population.	Choe EK, Rhee H, Lee S, Shin E, Oh SW, Lee JE, Choi SH.	Genomics & informatics	2018	30602092	PMC6440667	10.5808/gi.2018.16.4.e31
Automated segmentation and source prediction of bone tumors using ConvNeXtv2 Fusion based Mask R-CNN to identify lung cancer metastasis.	Zhao K, Dai P, Xiao P, Pan Y, Liao L, Liu J, Yang X, Li Z, Ma Y, Liu J, Zhang Z, Li S, Zhang H, Chen S, Cai F, Tan Z.	Journal of bone oncology	2024	39430914	PMC11488409	10.1016/j.jbo.2024.100637
Balanced Training Sets Improve Deep Learning-Based Prediction of CRISPR sgRNA Activity.	Trivedi V, Mohseni A, Lonardi S, Wheeldon I.	ACS synthetic biology	2024	39495623	PMC11574921	10.1021/acssynbio.4c00542
Identification of Potential Genes and Critical Pathways in Postoperative Recurrence of Crohn's Disease by Machine Learning And WGCNA Network Analysis.	Rajalingam A, Sekar K, Ganjiwale A.	Current genomics	2023	37994325	PMC10662376	10.2174/1389202924666230601122334
End-to-end deep learning classification of vocal pathology using stacked vowels.	Liu GS, Hodges JM, Yu J, Sung CK, Erickson-DiRenzo E, Doyle PC.	Laryngoscope investigative otolaryngology	2023	37899847	PMC10601590	10.1002/lio2.1144
Integrating radiomics with clinical data for enhanced prediction of vertebral fracture risk.	Saravi B, Zink A, Tabukashvili E, Güzel HE, Ülkümen S, Couillard-Despres S, Lang GM, Hassel F.	Frontiers in bioengineering and biotechnology	2024	39650236	PMC11620855	10.3389/fbioe.2024.1485364
Deep Learning and Pathomics Analyses Reveal Cell Nuclei as Important Features for Mutation Prediction of BRAF-Mutated Melanomas.	Kim RH, Nomikou S, Coudray N, Jour G, Dawood Z, Hong R, Esteva E, Sakellaropoulos T, Donnelly D, Moran U, Hatzimemos A, Weber JS, Razavian N, Aifantis I, Fenyo D, Snuderl M, Shapiro R, Berman RS, Osman I, Tsirigos A.	The Journal of investigative dermatology	2022	34757067	PMC9054943	10.1016/j.jid.2021.09.034
IA-GCN: Interpretable Attention based Graph Convolutional Network for Disease Prediction.	Kazi A, Farghadani S, Aganj I, Navab N.	Machine learning in medical imaging. MLMI (Workshop)	2023	37854585	PMC10583839	10.1007/978-3-031-45673-2_38
Identification of protein functions using a machine-learning approach based on sequence-derived properties.	Lee BJ, Shin MS, Oh YJ, Oh HS, Ryu KH.	Proteome science	2009	19664241	PMC2731080	10.1186/1477-5956-7-27
Fast GPU Implementation of a Scan-Specific Deep Learning Reconstruction for Accelerated Magnetic Resonance Imaging.	Zhang C, Weingärtner S, Moeller S, Uğurbil K, Akçakaya M.	IEEE International Conference on Electro Information Technology : [proceedings]. IEEE International Conference on Electro Information Technology	2018	31893160	PMC6938222	10.1109/eit.2018.8500090
A comprehensive analysis of stroke risk factors and development of a predictive model using machine learning approaches.	Xie S, Peng S, Zhao L, Yang B, Qu Y, Tang X.	Molecular genetics and genomics : MGG	2025	39853452	PMC11762205	10.1007/s00438-024-02217-3
[Identifying Molecular Subtypes of Whole-Slide Image in Colorectal Cancer via Deep Learning].	Liao J, Feng XB, Wang YH, Guo LC.	Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition	2021	34323050	PMC10409381	10.12182/20210760501
Predicting gene knockout effects from expression data.	Rosenski J, Shifman S, Kaplan T.	BMC medical genomics	2023	36803845	PMC9938619	10.1186/s12920-023-01446-6
Predicting Low Cognitive Ability at Age 5-Feature Selection Using Machine Learning Methods and Birth Cohort Data.	Bowe AK, Lightbody G, Staines A, Kiely ME, McCarthy FP, Murray DM.	International journal of public health	2022	36439276	PMC9684182	10.3389/ijph.2022.1605047
Machine learning approaches to personalize early prediction of asthma exacerbations.	Finkelstein J, Jeong IC.	Annals of the New York Academy of Sciences	2017	27627195	PMC5266630	10.1111/nyas.13218
Supervised learning and prediction of physical interactions between human and HIV proteins.	Dyer MD, Murali TM, Sobral BW.	Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	2011	21382517	PMC3134873	10.1016/j.meegid.2011.02.022
Machine learning and clinician predictions of antibiotic resistance in Enterobacterales bloodstream infections.	Yuan K, Luk A, Wei J, Walker AS, Zhu T, Eyre DW.	The Journal of infection	2025	39742978	PMC11893473	10.1016/j.jinf.2024.106388
Identification of Enterobacter sakazakii from closely related species: the use of artificial neural networks in the analysis of biochemical and 16S rDNA data.	Iversen C, Lancashire L, Waddington M, Forsythe S, Ball G.	BMC microbiology	2006	16533390	PMC1421405	10.1186/1471-2180-6-28
The Role of Levodopa Challenge in Predicting the Outcome of Subthalamic Deep Brain Stimulation.	Wolke R, Becktepe JS, Paschen S, Helmers AK, Kübler-Weller D, Youn J, Brinker D, Bergman H, Kühn AA, Fasano A, Deuschl G.	Movement disorders clinical practice	2023	37635781	PMC10450242	10.1002/mdc3.13825
An Approach to Automatically Label and Order Brain Activity/Component Maps.	Salman MS, Wager TD, Damaraju E, Abrol A, Vergara VM, Fu Z, Calhoun VD.	Brain connectivity	2022	34039009	PMC8867103	10.1089/brain.2020.0950
PET radiomics-based lymphovascular invasion prediction in lung cancer using multiple segmentation and multi-machine learning algorithms.	Hosseini SA, Hajianfar G, Ghaffarian P, Seyfi M, Hosseini E, Aval AH, Servaes S, Hanaoka M, Rosa-Neto P, Chawla S, Zaidi H, Ay MR.	Physical and engineering sciences in medicine	2024	39225775	PMC11666702	10.1007/s13246-024-01475-0
Improved diagnosis of thyroid cancer aided with deep learning applied to sonographic text reports: a retrospective, multi-cohort, diagnostic study.	Zhang Q, Zhang S, Li J, Pan Y, Zhao J, Feng Y, Zhao Y, Wang X, Zheng Z, Yang X, Liu L, Qin C, Zhao K, Liu X, Li C, Zhang L, Yang C, Zhuo N, Zhang H, Liu J, Gao J, Di X, Meng F, Ji W, Yang M, Xin X, Wei X, Jin R, Zhang L, Wang X, Song F, Zheng X, Gao M, Chen K, Li X.	Cancer biology & medicine	2021	34491007	PMC9196053	10.20892/j.issn.2095-3941.2020.0509
A machine learning-based prediction model pre-operatively for functional recovery after 1-year of hip fracture surgery in older people.	Lin C, Liang Z, Liu J, Sun W.	Frontiers in surgery	2023	37351328	PMC10282650	10.3389/fsurg.2023.1160085
Prediction of large vessel occlusion for ischaemic stroke by using the machine learning model random forests.	Wang J, Zhang J, Gong X, Zhang W, Zhou Y, Lou M.	Stroke and vascular neurology	2022	34702747	PMC9067264	10.1136/svn-2021-001096
Using Machine Learning to Predict Cognitive Impairment Among Middle-Aged and Older Chinese: A Longitudinal Study.	Liu H, Zhang X, Liu H, Chong ST.	International journal of public health	2023	36798738	PMC9926933	10.3389/ijph.2023.1605322
Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.	Barnoy Y, Erin O, Raval S, Pryor W, Mair LO, Weinberg IN, Diaz-Mercado Y, Krieger A, Hager GD.	IEEE transactions on medical robotics and bionics	2022	37600471	PMC10438915	10.1109/tmrb.2022.3214426
The use of artificial intelligence for predicting postinfarction myocardial viability in echocardiographic images.	Michalski B, Skonieczka S, Strzelecki M, Simiera M, Kupczyńska K, Szymczyk E, Wejner-Mik P, Lipiec P, Kasprzak JD.	Cardiology journal	2024	38742717	PMC11544410	10.5603/cj.93887
Tumor type classification and candidate cancer-specific biomarkers discovery via semi-supervised learning.	Chen P, Li Z, Hong Z, Zheng H, Zeng R.	Biophysics reports	2023	37753058	PMC10518520	10.52601/bpr.2023.230005
Machine Learning to Predict, Detect, and Intervene Older Adults Vulnerable for Adverse Drug Events in the Emergency Department.	Ouchi K, Lindvall C, Chai PR, Boyer EW.	Journal of medical toxicology : official journal of the American College of Medical Toxicology	2018	29858745	PMC6097964	10.1007/s13181-018-0667-3
Emergency department triage prediction of clinical outcomes using machine learning models.	Raita Y, Goto T, Faridi MK, Brown DFM, Camargo CA, Hasegawa K.	Critical care (London, England)	2019	30795786	PMC6387562	10.1186/s13054-019-2351-7
Fluorescence lifetime image microscopy prediction with convolutional neural networks for cell detection and classification in tissues.	Smolen JA, Wooley KL.	PNAS nexus	2022	36712353	PMC9802238	10.1093/pnasnexus/pgac235
Identification of Regional Lymph Node Involvement of Colorectal Cancer by Serum SELDI Proteomic Patterns.	Fan NJ, Gao CF, Wang XL.	Gastroenterology research and practice	2011	22253617	PMC3255105	10.1155/2011/784967
Comparison of deep learning-assisted blinking analysis system and Lipiview interferometer in dry eye patients: a cross-sectional study.	Ren Y, Wen H, Bai F, Huang B, Wang Z, Zhang S, Pu Y, Le Z, Gong X, Wang L, Chen W, Zheng Q.	Eye and vision (London, England)	2024	38374153	PMC10875838	10.1186/s40662-024-00373-6
Machine-learning algorithms for predicting hospital re-admissions in sickle cell disease.	Patel A, Gan K, Li AA, Weiss J, Nouraie M, Tayur S, Novelli EM.	British journal of haematology	2021	33169861	PMC11423862	10.1111/bjh.17107
Synergistic Approach of Interfacial Layer Engineering and READ-Voltage Optimization in HfO<sub>2</sub>-Based FeFETs for In-Memory-Computing Applications.	Raffel Y, De S, Lederer M, Olivo RR, Hoffmann R, Thunder S, Pirro L, Beyer S, Chohan T, Kämpfe T, Seidel K, Heitmann J.	ACS applied electronic materials	2022	36439397	PMC9686141	10.1021/acsaelm.2c00771
Prediction Model for Unfavorable Outcome in Spontaneous Intracerebral Hemorrhage Based on Machine Learning.	Li S, Zhang J, Hou X, Wang Y, Li T, Xu Z, Chen F, Zhou Y, Wang W, Liu M.	Journal of Korean Neurosurgical Society	2024	37661087	PMC10788551	10.3340/jkns.2023.0118
Can a Smartphone Diagnose Parkinson Disease? A Deep Neural Network Method and Telediagnosis System Implementation.	Zhang YN.	Parkinson's disease	2017	29075547	PMC5624169	10.1155/2017/6209703
Autism Spectrum Disorder Detection by Hybrid Convolutional Recurrent Neural Networks from Structural and Resting State Functional MRI Images.	Koc E, Kalkan H, Bilgen S.	Autism research and treatment	2023	38152612	PMC10752691	10.1155/2023/4136087
Automated Measurements of Muscle Mass Using Deep Learning Can Predict Clinical Outcomes in Patients With Liver Disease.	Wang NC, Zhang P, Tapper EB, Saini S, Wang SC, Su GL.	The American journal of gastroenterology	2020	32467506	PMC7415547	10.14309/ajg.0000000000000662
Uncovering structural ensembles from single-particle cryo-EM data using cryoDRGN.	Kinman LF, Powell BM, Zhong ED, Berger B, Davis JH.	Nature protocols	2023	36376590	PMC10049411	10.1038/s41596-022-00763-x
Reaching Those at Highest Risk for Suicide: Development of a Model Using Machine Learning Methods for use With Native American Communities.	Haroz EE, Walsh CG, Goklish N, Cwik MF, O'Keefe V, Barlow A.	Suicide & life-threatening behavior	2020	31692064	PMC7148171	10.1111/sltb.12598
A protein-based machine learning approach to the identification of inflammatory subtypes in pancreatic ductal adenocarcinoma.	Herremans KM, Underwood PW, Riner AN, Neal DW, Tushoski-Alemán GW, Forsmark CE, Nassour I, Han S, Hughes SJ.	Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.]	2023	37391359	PMC10528923	10.1016/j.pan.2023.06.007
Decoding the metastatic potential and optimal postoperative adjuvant therapy of melanoma based on metastasis score.	Shen K, Song W, Wang H, Wang L, Yang Y, Hu Q, Ren M, Gao Z, Wang Q, Zheng S, Zhu M, Yang Y, Zhang Y, Wei C, Gu J.	Cell death discovery	2023	37880239	PMC10600209	10.1038/s41420-023-01678-6
Machine learning approaches improve risk stratification for secondary cardiovascular disease prevention in multiethnic patients.	Sarraju A, Ward A, Chung S, Li J, Scheinker D, Rodríguez F.	Open heart	2021	34667093	PMC8527119	10.1136/openhrt-2021-001802
Data Mining of Gene Arrays for Biomarkers of Survival in Ovarian Cancer.	Coveney C, Boocock DJ, Rees RC, Deen S, Ball GR.	Microarrays (Basel, Switzerland)	2015	27600227	PMC4996375	10.3390/microarrays4030324
Different models for prediction of radical cystectomy postoperative complications and care pathways.	Taylor J, Meng X, Renson A, Smith AB, Wysock JS, Taneja SS, Huang WC, Bjurlin MA.	Therapeutic advances in urology	2019	31565072	PMC6755632	10.1177/1756287219875587
Dense Depth Estimation from Stereo Endoscopy Videos Using Unsupervised Optical Flow Methods.	Yang Z, Simon R, Li Y, Linte CA.	Medical Image Understanding and Analysis. Medical Image Understanding and Analysis (Conference)	2021	35610998	PMC9125693	10.1007/978-3-030-80432-9_26
Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications.	Aggarwal P.	JMIR dermatology	2021	37632853	PMC10334948	10.2196/31697
Machine learning for predicting diabetes risk in western China adults.	Li L, Cheng Y, Ji W, Liu M, Hu Z, Yang Y, Wang Y, Zhou Y.	Diabetology & metabolic syndrome	2023	37501094	PMC10373320	10.1186/s13098-023-01112-y
Explainable Deep Learning Model for Predicting Serious Adverse Events in Hospitalized Geriatric Patients Within 72 Hours.	Hsu TY, Cheng CY, Chiu IM, Lin CR, Cheng FJ, Pan HY, Su YJ, Li CJ.	Clinical interventions in aging	2024	38883992	PMC11180436	10.2147/cia.s460562
Neighboring Algorithm for Visual Semantic Analysis toward GAN-Generated Pictures.	Zhang LM, Sheng Y.	Applied bionics and biomechanics	2022	36193335	PMC9525754	10.1155/2022/2188152
Differentiating Alzheimer's Disease from Dementia with Lewy Bodies Using a Deep Learning Technique Based on Structural Brain Connectivity.	Wada A, Tsuruta K, Irie R, Kamagata K, Maekawa T, Fujita S, Koshino S, Kumamaru K, Suzuki M, Nakanishi A, Hori M, Aoki S.	Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine	2019	30504639	PMC6630050	10.2463/mrms.mp.2018-0091
Identifying animal behaviours from accelerometers: Improving predictive accuracy of machine learning by refining the variables selected, data frequency, and sample duration.	Dunford CE, Marks NJ, Wilson RP, Scantlebury DM.	Ecology and evolution	2024	38756684	PMC11097004	10.1002/ece3.11380
UKSSL: Underlying Knowledge Based Semi-Supervised Learning for Medical Image Classification.	Ren Z, Kong X, Zhang Y, Wang S.	IEEE open journal of engineering in medicine and biology	2024	38899016	PMC11186655	10.1109/ojemb.2023.3305190
A fair and interpretable network for clinical risk prediction: a regularized multi-view multi-task learning approach.	Pham TH, Yin C, Mehta L, Zhang X, Zhang P.	Knowledge and information systems	2023	36998311	PMC10046420	10.1007/s10115-022-01813-2
Classification of EEG Signals Reveals a Focal Aftereffect of 10 Hz Motor Cortex Transcranial Alternating Current Stimulation.	Tzvi E, Alizadeh J, Schubert C, Classen J.	Cerebral cortex communications	2022	35088053	PMC8790173	10.1093/texcom/tgab067
