File	Key	Old_Value	New_Value	Type
PMC7442807	optimization/features	Given the MSA, for each pair target-homologous sequences, each position is encoded with a 41-valued vector. Total encoding = Sequence length x Number of homologous sequences in MSA (Max 1000) x 41. No feature selection applied.	They prepared SNP data, phenotype data, and covariate data for both the training and test datasets for the input of the function (3 features).	Update
PMC7442807	optimization/fitting	MSA sampling and distance matrix cropping in training process is adopted to avoid potential overfitting as well	Not stated.	Update
PMC7442807	optimization/meta	No	no.	Update
PMC7442807	optimization/parameters	6.46 M to 16.46 M parameters. Performance evaluated on the validation set.	2 tuning parameters.	Update
PMC7442807	optimization/regularization		Strategy to reduce overfitting: screening and building penalized regression models.	Update
PMC7442807	optimization/done	6	0	Update
PMC7442807	optimization/skip	2	0	Update
PMC7442807	model/availability	https://github.com/fusong-ju/ProFOLD	The program code for STMGP (STMGP v1.0), including the function used in the study, is available via CRAN, the official R package archive.	Update
PMC7442807	model/duration		Not stated.	Update
PMC7442807	model/interpretability	Black box	Black box.	Update
PMC7442807	model/output	classification (interresidue contacts) and regression (interresidue distance)	Regression.	Update
PMC7442807	model/done	3	0	Update
PMC7442807	model/skip	1	0	Update
PMC7442807	evaluation/availability	No	no.	Update
PMC7442807	evaluation/comparison	RaptorX, AlphaFold, trRosetta	The performance of STMGP was evaluated in terms of prediction accuracy and the degree of overfitting, and compared with that of other state-of-the-art methods, which included, in addition to PRS and GBLUP, summary-data-based best linear-unbiased prediction (SBLUP) , BayesR (a Bayesian hierarchical model for complex trait analysis) , and ridge regression (penalized regression model). 	Update
PMC7442807	evaluation/confidence	No confidence intervals nor statistical significance reported	STMGP showed the highest prediction accuracy with the lowest degree of overfitting, although there was no significant difference in prediction accuracy.	Update
PMC7442807	evaluation/measure	Precision of contact predictions at different thresholds	Accuracy.	Update
PMC7442807	evaluation/method	Independent test set	The performance of STMGP was evaluated in terms of prediction accuracy and the degree of overfitting.	Update
PMC7442807	evaluation/done	4	0	Update
PMC7442807	evaluation/skip	1	0	Update
PMC11899596	publication/pmid	None	40072905	New_Key
PMC11899596	publication/pmcid	None	PMC11899596	New_Key
PMC11899596	publication/updated	None	0	New_Key
PMC11899596	publication/authors	Tobias Bachmann; Karsten Mueller; Simon N. A. Kusnezow; Matthias Schroeter; Paolo Piaggi; Christopher Weise	Bachmann T, Mueller K, Kusnezow SNA, Schroeter ML, Piaggi P, Weise CM.	Update
PMC11899596	publication/title	Cerebellocerebral Connectivity Predicts Body Mass Index: a New Open-Source Python-based Framework for Connectome-based Predictive Modeling	Cerebellocerebral connectivity predicts body mass index: a new open-source Python-based framework for connectome-based predictive modeling.	Update
PMC11899596	publication/year	2025	2025	Update
PMC11899596	publication/done	None	0	New_Key
PMC11899596	publication/skip	None	0	New_Key
PMC11899596	publication/tags	NA	True	Update
PMC11899596	dataset/done	None	4	New_Key
PMC11899596	dataset/skip	None	0	New_Key
PMC11899596	optimization/done	None	8	New_Key
PMC11899596	optimization/skip	None	0	New_Key
PMC11899596	model/done	None	4	New_Key
PMC11899596	model/skip	None	0	New_Key
PMC11899596	evaluation/done	None	5	New_Key
PMC11899596	evaluation/skip	None	0	New_Key
PMC8371605	publication/pmid		34265844	Update
PMC8371605	publication/pmcid	None	PMC8371605	New_Key
PMC8371605	publication/updated	None	0	New_Key
PMC8371605	publication/title	Highly accurate protein structure prediction with AlphaFold	Highly accurate protein structure prediction with AlphaFold.	Update
PMC8371605	publication/year	2021	2021	Update
PMC8371605	publication/skip	6	0	Update
PMC8371605	publication/tags	['Protein', 'Structural biology', 'AlphaFold']	Protein, Structural biology, AlphaFold	Update
PMC2752621	publication/pmid	None	19667082	New_Key
PMC2752621	publication/pmcid	None	PMC2752621	New_Key
PMC2752621	publication/updated	None	0	New_Key
PMC2752621	publication/authors	Wegrzyn JL, Lee JM, Liechty J, Neale DB	Wegrzyn JL, Lee JM, Liechty J, Neale DB.	Update
PMC2752621	publication/journal	Bioinformatics	Bioinformatics (Oxford, England)	Update
PMC2752621	publication/year	2009	2009	Update
PMC2752621	publication/done	None	0	New_Key
PMC2752621	publication/skip	None	0	New_Key
PMC2752621	publication/tags	[]	True	Update
PMC2752621	dataset/availability	"Class I MHC binding affinity data in IEDB
https://cbs.dtu.dk/services.NetMHCpan-3.0 (broken link)

Class II MHC binding affinity data in IEDB
https://cbs.dtu.dk/services.NetMHCIIpan-3.2 (broken link)

Benchmark dataset (used for comparison with other methods)
https://www.biorxiv.org/content/10.1101/154757v2  https://data.mendeley.com/datasets/jwhmrdx268/1
The authors obtained data in the class I MHC-peptide binding affinity benchmark from personal correspondence with Bhattacharya et al. and they have deposited this dataset in Mendeley Data. The accession number for this data is Mendeley Data:
https://doi.org/10.17632/jwhmrdx268.1
"	No	Update
PMC2752621	dataset/provenance	"Regression data

Class I MHC binding affinity data in IEDB
Broken link

Class II MHC binding affinity data in IEDB
Broken link

Benchmark dataset (used for comparison with other methods)
Curated class I MHC benchmark dataset (https://www.biorxiv.org/content/10.1101/154757v2 https://data.mendeley.com/datasets/jwhmrdx268/1)  
Training 176,985
Testing  26,888"	Source: Pinus taeda resequencing data, not further specified.  Training set is composed of a total of 300 validated sequences.  Test set is composed of 120 independent sequences, with 563 manually validated SNPs.	Update
PMC2752621	dataset/redundancy	"Class I MHC binding affinity data in IEDB
For analyses on class I MHC-peptide binding, the IEDB-based dataset of Nielsen et al (2016) was used, in which 5 cross-validation folds were created to ensure no peptide shares a 9-mer sequence with any peptide in a different fold. 	

Class II MHC binding affinity data in IEDB
For analyses on class II MHC-peptide binding, the IEDB-based dataset of Jensen et al (2018) was used, in which 5 cross-validation folds were created in the same way as in Nielsen et al (2016).	

Benchmark dataset (used for comparison with other methods)
The dataset of Bhattacharya et al.(2017) was used, who constructed a benchmark in which no peptide in the test set has identical length and greater than 80% sequence identity to any peptide in the training Set."	Not reported	Update
PMC2752621	dataset/splits	"Class I MHC binding affinity data in IEDB
Only MHC alleles (114)  with more than 100 examples were included to ensure the quality of training.   1/8 of the training set was held out as a validation set.	

Class II MHC binding affinity data in IEDB
Only MHC alleles (55) with more than 100 examples were included to ensure the quality of training.   1/8 of the training set was held out as a validation set.	

Benchmark dataset (used for comparison with other methods)
51 class I MHC alleles are covered in this dataset.   "	 Testing: 120 Sequences 563 manually validated SNPs 	Update
PMC2752621	dataset/done	None	0	New_Key
PMC2752621	dataset/skip	None	0	New_Key
PMC2752621	optimization/algorithm	"Ensemble of a deep Residual Convolutional Neural Networks.	"	J48 Algorithm For Decision Tree (WEKA)   Decision tree J48 is the implementation of algorithm ID3 (Iterative Dichotomiser 3) developed by the WEKA project team. 	Update
PMC2752621	optimization/config	https://github.com/gifford-lab/PUFFIN	No	Update
PMC2752621	optimization/encoding	Each MHC allele was represented by a pseudo-sequence consisting of 34 amino acid residues in contact with the peptide.  All peptides sequences were padded on the right end to the same length, 30 for class I and 40 for class II, using a place-holder amino acid.     For each MHC- peptide pair, the MHC feature vector and the peptide feature matrix formed a final input matrix of size 1400 x 30 for class I MHC and 1400 x 40 for class II MHC. The difference between the peptide length L and the expected length L (9 for class I MHC and 15 for class II MHC) was encoded using a sigmoid function.	Global features	Update
PMC2752621	optimization/features	Number of initial features on the order of 1400 x 30	Sequence-based statistics were derived through a customized feature extraction program and fed as a vector for each polymorphism to the J48 classification tree available in the WEKA classifier package.  9 features were used to enhance polymorphism prediction accuracy (as reported in https://nealelab.ucdavis.edu/adept2-overview/pinesap/).	Update
PMC2752621	optimization/fitting	Possible redundancy in the sequences	Not reported	Update
PMC2752621	optimization/meta	NO	No	Update
PMC2752621	optimization/parameters	The model weights from the epoch with the lowest validation loss were selected.	Not reported	Update
PMC2752621	optimization/regularization		No	Update
PMC2752621	optimization/done	None	0	New_Key
PMC2752621	optimization/skip	None	0	New_Key
PMC2752621	model/availability	https://github.com/gifford-lab/PUFFIN	Broken link (http://dendrome.ucdavis.edu/adept2/ resequencing.html). The customized pipeline for feature extraction is reported in a new link:   https://nealelab.ucdavis.edu/adept2-overview/pinesap/	Update
PMC2752621	model/duration		Not reported	Update
PMC2752621	model/interpretability	Black box	Input features are transparent (Sequence Depth, Local Average Quality, Alignment Quality) while their combination is not interpretable (Black box).	Update
PMC2752621	model/output	Regression: The PUFFIN method takes as input a MHC-peptide pair and predicts a probabilistic distribution of peptide-MHC binding affinity. For Classification: positive examples were defined as the ones with a binding affinity stronger than 500 nM.	Binary classifier (SNP predictions accepted or rejected).	Update
PMC2752621	model/done	None	0	New_Key
PMC2752621	model/skip	None	0	New_Key
PMC2752621	evaluation/availability		No	Update
PMC2752621	evaluation/comparison	PUFFIN was compared to NetMHCpan, MHCflurry and MHCnuggets. Unlike those methods, PUFFIN provides uncertainty estimates for MHC-peptide affinity prediction. It is shown that PUFFIN’s uncertainty estimates are able to reflect the predictive error on unseen examples.	Polyphred, Polybayes. Used for generating the features.	Update
PMC2752621	evaluation/confidence	Confidence intervals are not reported. As mentioned in the text, there were no significant performance differences among the different tested methods.	Not reported	Update
PMC2752621	evaluation/measure	auROC, F1 score, mean-squared-error (MSE), R2, Spearman, correlation, and Point-Biserial correlation. For auROC, F1 score, and Point-Biserial correlation, positive examples were defined as the ones with a binding affinity stronger than 500 nM.	Accuracy, sensitivity, specificity	Update
PMC2752621	evaluation/method	Cross-validation on training set and independent set	Independent dataset of 120 unique sequences with 563 manually validated SNPs. Validation = All SNP calls were identified as based on visual inspection of Polyphred and Polybayes predictions in Consed.	Update
PMC2752621	evaluation/done	None	0	New_Key
PMC2752621	evaluation/skip	None	0	New_Key
PMC5550971	publication/pmid	28747397	28747397	Update
PMC5550971	publication/pmcid	None	PMC5550971	New_Key
PMC5550971	publication/updated	03/08/2022 18:05:03	0	Update
PMC5550971	publication/authors	Gao H, Aderhold A, Mangion K, Luo X, Husmeier D, Berry C	Gao H, Aderhold A, Mangion K, Luo X, Husmeier D, Berry C.	Update
PMC5550971	publication/journal	J R Soc Interface	Journal of the Royal Society, Interface	Update
PMC5550971	publication/year	2017	2017	Update
PMC5550971	publication/tags	[]	True	Update
PMC5550971	dataset/availability	Yes: website url (http://lin-group.cn/server/HBPred2.0/download.html)	No, only ClinicalTrials.gov identifier: NCT01717573	Update
PMC5550971	dataset/provenance	Yes: previous paper	clinical trials, 11 pos and 27 neg	Update
PMC5550971	dataset/redundancy	Yes: exclusion of identical sequences between testing and training datasets. Reduced redundancy within testing dataset (sequence identity >60% CD-HIT).	not reported	Update
PMC5550971	dataset/splits	Yes, size of training and test set, including distribution N_pos N_neg	LOOCV for testing and internal LOOCV or 5-fold CV for validation	Update
PMC5550971	dataset/done	4	0	Update
PMC5550971	optimization/algorithm	Yes: SVM	Logistic regression, KNN, LDA, DT, RF, Gaussian processes (GP-ARD)	Update
PMC5550971	optimization/config	No	partially: supplement 	Update
PMC5550971	optimization/encoding	Yes: sequence features (NVM, g-gap, TPC) and composition properties (CTD, pseAAC) 	global features	Update
PMC5550971	optimization/features	"Yes: 5 types of features (NVM, g-gap, TPC, CTD, pseAAC). Feature selection using ANOVA for g-gap and pseAAC, binomial distribution for TPC and Incremental feature selection.
and size of vectors (21, 60, 81, 400, 8000 depending on the feature extraction method...)"	6	Update
PMC5550971	optimization/fitting	No	a range of different model types was tested	Update
PMC5550971	optimization/meta	No	no	Update
PMC5550971	optimization/parameters	Yes: parameters C and g, optimised by grid search space	various but equal to f in most cases	Update
PMC5550971	optimization/regularization	Yes: Parameter C, optimised by grid search space	for some predictors, e.g. Lasso for logistic regression	Update
PMC5550971	optimization/done	5	0	Update
PMC5550971	optimization/skip	3	0	Update
PMC5550971	model/availability	No, only a prediction web service	not provided	Update
PMC5550971	model/duration	No	not provided	Update
PMC5550971	model/interpretability	Black box	transparent: identification of the main biomarkers	Update
PMC5550971	model/output	Classification	both, depending on the model used	Update
PMC5550971	model/done	3	0	Update
PMC5550971	model/skip	1	0	Update
PMC5550971	evaluation/availability	No	no	Update
PMC5550971	evaluation/comparison	"Yes: Comparison with other classifiers: J48, Bagging, Random Forest, Naive Bayes
 Comparison with other published methods: HBPred, iGHBP, HBPred2.0"	only among the models in the paper	Update
PMC5550971	evaluation/confidence	No: only comparing difference between performance measures	Not given	Update
PMC5550971	evaluation/measure	Yes: Sensitivity, Specificity, Accuracy, Matthew correlation coefficient, AUC	sensitivity, specificity, accuracy, AUROC	Update
PMC5550971	evaluation/method	Yes: on 5-fold training dataset and also on independent dataset	LOOCV	Update
PMC5550971	evaluation/done	4	0	Update
PMC5550971	evaluation/skip	1	0	Update
PMC8385175	publication/pmid	34419924	34419924	Update
PMC8385175	publication/pmcid	None	PMC8385175	New_Key
PMC8385175	publication/updated	03/28/2022 16:40:10	0	Update
PMC8385175	publication/authors	Hogan CA, Rajpurkar P, Sowrirajan H, Phillips NA, Le AT, Wu M, Garamani N, Sahoo MK, Wood ML, Huang C, Ng AY, Mak J, Cowan TM, Pinsky BA	Hogan CA, Rajpurkar P, Sowrirajan H, Phillips NA, Le AT, Wu M, Garamani N, Sahoo MK, Wood ML, Huang C, Ng AY, Mak J, Cowan TM, Pinsky BA.	Update
PMC8385175	publication/year	2021	2021	Update
PMC8385175	publication/tags	[]	True	Update
PMC8385175	dataset/availability	no.	"Conatact (hoganca@stanford.edu) is provided right the beggining of the ""Methods"" section of the papaer for further information and requests.  The data and code generated during this study were made available at https://github.com/stanfordmlgroup/influenza-qtof."	Update
PMC8385175	dataset/provenance	Data from experiments.	samples from Stanford Health Care and Stanford Children’s Health, 1:1 ratio of positive to age and sex-matched negative controls.  Data collection was performed after the reference test (RT-PCR) and before the index test (metabolomics). Discovery cohort (from April 23 2015 to October 13 2019):  118 samples, N_neg 118 samples validation cohort (December 21 2019 to February 18 2020): N_pos 48 samples, N_neg 48 samples	Update
PMC8385175	dataset/splits		The final analysis included for discovery cohort: training set:  94 positive, 92 negative test set: 24 positive, 26 negative	Update
PMC8385175	dataset/done	2	0	Update
PMC8385175	dataset/skip	2	0	Update
PMC8385175	optimization/algorithm	T-distributed stochastic neighbor embedding (t-SNE).	gradient boosted decision trees and random forests	Update
PMC8385175	optimization/config	No	no	Update
PMC8385175	optimization/meta	no.	no	Update
PMC8385175	optimization/parameters		Python version 3.6.8, gradient boosted decision trees: LightGBM v2.2.3 RF: scikit-learn v0.20.2	Update
PMC8385175	optimization/regularization		The models were not retrained using SRM data to avoid overfitting and overestimating test performance. In addition, within the training set, cross-validation was used to develop the models to avoid overfitting to the training set.	Update
PMC8385175	optimization/done	2	0	Update
PMC8385175	optimization/skip	6	0	Update
PMC8385175	model/availability	No	https://github.com/stanfordmlgroup/influenza-qtof	Update
PMC8385175	model/duration		no	Update
PMC8385175	model/output	Regression.	classification	Update
PMC8385175	model/done	2	0	Update
PMC8385175	model/skip	2	0	Update
PMC8385175	evaluation/availability	No	yes, https://github.com/stanfordmlgroup/influenza-qtof/tree/master/data	Update
PMC8385175	evaluation/comparison		costeffective comare to PCR tests and could be performed at the point-of-care comapre to RT-PCR test, no other methods for direct omparisonc	Update
PMC8385175	evaluation/measure		AUC, sensitivity, specificity	Update
PMC8385175	evaluation/method		 novel experiments.	Update
PMC8385175	evaluation/skip	5	0	Update
PMC5656045	publication/pmid	28600868	28600868	Update
PMC5656045	publication/pmcid	None	PMC5656045	New_Key
PMC5656045	publication/updated	02/08/2022 23:45:07	0	Update
PMC5656045	publication/authors	Sundaram L, Bhat RR, Viswanath V, Li X	Sundaram L, Bhat RR, Viswanath V, Li X.	Update
PMC5656045	publication/journal	Hum Mutat	Human mutation	Update
PMC5656045	publication/year	2017	2017	Update
PMC5656045	publication/tags	[]	True	Update
PMC5656045	dataset/availability	no	No	Update
PMC5656045	dataset/provenance	"datasets are based on mouse strains generated by the lab itself
The aggerated dataset has complete time-series (7 timepoints) data for 3479 proteins and 513 metabolites."	Exome sequencing data for 1000 samples. Npos = 500 (control group). Nneg = 500 (disease group). Ntrain = 500. Ntest = 500. Data were provided from the Regents of the University of California under the challenge “Bipolar Exomes”.	Update
PMC5656045	dataset/redundancy	no	Random sampling from the pool of 1000 samples and balanced datasets between train, validation, and test datasets.	Update
PMC5656045	dataset/splits	no	Npos,train = 200. Nneg,train = 200. Validation set present. Npos,validation = 50. Nneg,validation = 50. Npos,test = 249. Nneg,test = 251.	Update
PMC5656045	dataset/done	4	0	Update
PMC5656045	optimization/algorithm	"K-means clustering, hierarchal clustering (HC), partitioning around medoids (PAM),
LSTM based on variational autoencoder (VAE)
deep convolutional embedded clustering (DCEC)
"	Deep convolutional neural network trained using gradient descent by standard backpropagation algorithm.	Update
PMC5656045	optimization/config	"platform: Intel Xeon Processor E5-2643 v4, 128 GB RAM and NVIDIA Quadro M4000 GPU.
 K-means and HC: Python scikit-learn 
 PAM: R ‘cluster’ package
 LSTM-VAE: https://github.com/bilalmirza8519/LSTM-VAE
 DCEC: https://github.com/XifengGuo/DCEC"	No.	Update
PMC5656045	optimization/encoding		Moving window length across the input sequences by the convolutional kernels and formation of feature maps. One-hot-encoding was used to create vectors for all the types of genotypes available, to ensure that all the categories are equidistant from each other.	Update
PMC5656045	optimization/features	no	Featured maps formed from filtered exonic variants, one-hot encoded per chromosome.	Update
PMC5656045	optimization/fitting	no	Application of a batch normalization layer after the max-pooling layer contributes to avoiding overfitting the data. Additionally, balanced training, validation and testing datasets were used.	Update
PMC5656045	optimization/meta	no	No	Update
PMC5656045	optimization/parameters	"K-means, HC, PAM: K = 6 based on prior biological knowledge

LSTM-VAE: 
the input layer of dimension 7 × 1
first layer generated 7 × n
second layer 7 × 1

DCEC: used as DOI: 10.1007/978-3-319-70096-0_39"	The deep convolutional network takes in a 23-channel input, with each input being the one-hot encoded variants of a chromosome. Initializing weights to reduce the loss function at each epoch.	Update
PMC5656045	optimization/regularization	no	Yes. Reduction of feature dimension using L1 regularization with penalty parameter C = 0.85. Less than 1% of the total features remain.	Update
PMC5656045	optimization/done	7	0	Update
PMC5656045	optimization/skip	1	0	Update
PMC5656045	model/availability	No	Not available	Update
PMC5656045	model/duration		Training the model end-to-end takes close to 6 hours on Nvidia Tesla M40 servers.	Update
PMC5656045	model/interpretability	Black box	Black box. Reduced performance due to repeated feature subsampling supports the importance of all features in model performance and the absence of sequencing method artifacts.	Update
PMC5656045	model/output	classification	Classification with binary predictions.	Update
PMC5656045	model/done	2	0	Update
PMC5656045	model/skip	2	0	Update
PMC5656045	evaluation/comparison	Comparison only betweeen models created by the authors	Decision trees and random forests.	Update
PMC5656045	evaluation/confidence	No	Higher performance metrics of the convolutional neural network (e.g., accuracy = 0.65) than those of the comparing algorithms (accuracy = 0.55). Confidence intervals were not calculated, and statistical testing was not applied.	Update
PMC5656045	evaluation/measure	pathway enrichment analysis using Reactome knowledgebase	Accuracy, Precision, Recall, F1-Score, AUC score, ROC curve.	Update
PMC5656045	evaluation/method	No	Cross-validation	Update
PMC5656045	evaluation/done	2	0	Update
PMC5656045	evaluation/skip	3	0	Update
PMC6237755	publication/pmid	30295871	30295871	Update
PMC6237755	publication/pmcid	None	PMC6237755	New_Key
PMC6237755	publication/updated	02/08/2022 16:25:04	0	Update
PMC6237755	publication/authors	Rappoport N, Shamir R	Rappoport N, Shamir R.	Update
PMC6237755	publication/journal	Nucleic Acids Res	Nucleic acids research	Update
PMC6237755	publication/year	2018	2018	Update
PMC6237755	publication/tags	[]	True	Update
PMC6237755	dataset/availability	MTBLS1695, study still private	Yes (supporting information and website URL)	Update
PMC6237755	dataset/provenance	20 Alzheimer's Disease patients (AD), 10 Mild cognitive impairment (MCI) and 29 control patients. Metabolomics samples measured with HNMR and DI LC-MS/MS, identification of 142 metabolites with HNMR and 51 with DI LC-MS/MS, demographic information (age and gender)	Yes (The Cancer Genome Atlas)	Update
PMC6237755	dataset/redundancy	Average of concentrations of overlapping metabolites between HNMR and DI LC-MS/MS. PCA to screen for and remove subjects outside of 95% percentile. Student’s t-test was performed to determine if there were any significantly different metabolites between AD, MCI, and age-matched controls (p < 0.05) when compared pairwise. Non-normally distributed data were analyzed using a Mann−Whitney U test and a Bonferroni correction was applied to account for multiple comparisons. To determine if sample demographics were statistically significantly different, a one-way analysis of variance analysis (ANOVA) was conducted using the IBM SPSS Statistics toolbox (v. 24.0).	No dataset split  (unsupervised machine learning)	Update
PMC6237755	dataset/splits	20, 10, 29 (see provenance) * 142 metabolites, 	No dataset split  (unsupervised machine learning) Labels used to assess performance are given in raw datasets	Update
PMC6237755	dataset/done	4	0	Update
PMC6237755	optimization/algorithm	SVM (RBF kernel), Logistic regression	Multi-view clustering methods (early and late integration, similarity based, dimension reduction and statistical methods)	Update
PMC6237755	optimization/config		No	Update
PMC6237755	optimization/encoding	Log-transform, auto-scaling	No, not in detail. Class of feature used are described (gene sequence, expression and methylation) but no detail on encoding (only reference to source of data)	Update
PMC6237755	optimization/features	Correlation-based feature selection, LASSO, step-wise variable selection	Yes, indirectly: processed raw data and algorithm for feature selection are given	Update
PMC6237755	optimization/fitting		No exclusion mentioned	Update
PMC6237755	optimization/parameters		Number of clusters: algorithm for selection is presented (elbow method)  Other parameters are not directly given but protocol used to select them are given (= if available: adherence to the guidelines given by the packages developers) 	Update
PMC6237755	optimization/regularization		Yes, regularization may be used by some methods (but not clear in the publication what was really implemented in the used packages) e.g. Least Absolute Shrinkage and Selection Operator regularization is used by iCluster Nuclear norm regularization is used by LRACluster A regularization term is used by rMKL-LPP Sparsity regularization is used by Canonical Correlation Analysis (CCA)	Update
PMC6237755	optimization/done	3	0	Update
PMC6237755	optimization/skip	5	0	Update
PMC6237755	model/availability	NA (MetaboLights accession is private)	Yes (GitHub)	Update
PMC6237755	model/duration		Yes (runtime in seconds on Windows desktop for eight methods and Linux cluster for one methods)	Update
PMC6237755	model/interpretability	NA (missing or inaccessible model data and source code)	Black box	Update
PMC6237755	model/output	Classification	Produces clusters	Update
PMC6237755	model/done	3	0	Update
PMC6237755	model/skip	1	0	Update
PMC6237755	evaluation/availability	Supporting information, potentially in MetaboLights repository under private accession MTBLS1695	Yes (supporting information)	Update
PMC6237755	evaluation/comparison	SVM, logistic regression	Comparison of logranks’ test p-values and number of enriched clinical parameters	Update
PMC6237755	evaluation/confidence	p-values, CI (95%) for AUCs	No. But no claiming of performance difference	Update
PMC6237755	evaluation/measure	AUC, sensitivity, specificity	Logrank test (differential survival between clusters) Chi-squared test and Kruskal-Wallis (clinical labels (six) enrichement in clusters)	Update
PMC6237755	evaluation/method	10-fold Cross-validation	Extrinsic measures (clinical labels)	Update
PMC6237755	evaluation/done	5	0	Update
PMC11659980	publication/pmid	None	39704702	New_Key
PMC11659980	publication/pmcid	None	PMC11659980	New_Key
PMC11659980	publication/updated	None	0	New_Key
PMC11659980	publication/authors	Yongxin Ji, Jiayu Shang, Jiaojiao Guan, Wei Zou, Herui Liao, Xubo Tang and Yanni Sun	Ji Y, Shang J, Guan J, Zou W, Liao H, Tang X, Sun Y.	Update
PMC11659980	publication/title	PlasGO: enhancing GO-based function prediction for plasmid-encoded proteins based on genetic structure	PlasGO: enhancing GO-based function prediction for plasmid-encoded proteins based on genetic structure.	Update
PMC11659980	publication/year	2024	2024	Update
PMC11659980	publication/done	None	0	New_Key
PMC11659980	publication/skip	None	0	New_Key
PMC11659980	publication/tags	None	True	New_Key
PMC11659980	dataset/done	None	4	New_Key
PMC11659980	dataset/skip	None	0	New_Key
PMC11659980	optimization/done	None	8	New_Key
PMC11659980	optimization/skip	None	0	New_Key
PMC11659980	model/done	None	4	New_Key
PMC11659980	model/skip	None	0	New_Key
PMC11659980	evaluation/done	None	5	New_Key
PMC11659980	evaluation/skip	None	0	New_Key
PMC11659980	publication/created		REMOVED	Removed_Key
PMC8261512	publication/pmid	34258160	34258160	Update
PMC8261512	publication/pmcid	None	PMC8261512	New_Key
PMC8261512	publication/updated	03/19/2022 17:28:38	0	Update
PMC8261512	publication/authors	Liu QX, Zhou D, Han TC, Lu X, Hou B, Li MY, Yang GX, Li QY, Pei ZH, Hong YY, Zhang YX, Chen WZ, Zheng H, He J, Dai JG	Liu QX, Zhou D, Han TC, Lu X, Hou B, Li MY, Yang GX, Li QY, Pei ZH, Hong YY, Zhang YX, Chen WZ, Zheng H, He J, Dai JG.	Update
PMC8261512	publication/journal	Adv Sci (Weinh)	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	Update
PMC8261512	publication/year	2021	2021	Update
PMC8261512	publication/tags	[]	True	Update
PMC8261512	dataset/availability	Yes but need to contact the authors apparently	patient clinical information available in SI, as well as the protein biomarker data cfDNA mutation and cfDNA methylation features. Link to raw data also provided (or via author)	Update
PMC8261512	dataset/provenance	Yes,  Prof. Connie Cepko at Harvard Medical School, claimed publicly available	Data is experimentally derived from 125 patients. Training data divided over 84 positive and 41 negative instances. An independent validation set 	Update
PMC8261512	dataset/redundancy	Yes, cross-validation	not discussed.	Update
PMC8261512	dataset/splits	Yes	Data is split into 96 for training and 29 for validation. The training set consisted of 69 positive and 27 negative, whereas the validation set is divided into 14 negative and 15 positive cases.  	Update
PMC8261512	dataset/done	4	0	Update
PMC8261512	optimization/algorithm	KStar (K-NN ?), Not novel, Multilayer perceptron, C4.5	SVM	Update
PMC8261512	optimization/config	No	not available 	Update
PMC8261512	optimization/encoding	Gene expression data	data normalised, missing data inputed using median value, data standardised using z-scores. 	Update
PMC8261512	optimization/features	No feature selection.	10 clinical features, eight cancer biomarkers 29-gene NGS panel for mutations, 30 methylation-correlated blocks (feature-selected from 697 MCBs). 	Update
PMC8261512	optimization/fitting		parameter smaller than samples, features larger but still smaller than samples pin the training set, but univariate analysis reduced then number of features.	Update
PMC8261512	optimization/meta	No	Features are coming from experimental data.  Four different predictors using different data are grouped in a stacked ensemble classifier, using Naive Bayes. 	Update
PMC8261512	optimization/parameters	Depends on algorithms tested.	linear kernel used in SVMs for each independent predictor.  Naive bayes sued to determine the optimal combination of these predictors.	Update
PMC8261512	optimization/regularization		Cross-validations procedures and feature selection are used to reduce chances for over-fitting.  Evaluation based on independent validation set.	Update
PMC8261512	optimization/done	4	0	Update
PMC8261512	optimization/skip	4	0	Update
PMC8261512	model/availability	Weka	not provided	Update
PMC8261512	model/duration	No	not discussed	Update
PMC8261512	model/interpretability	Black box	partially interpretable but no apart from feature analysis on the baseline predictors, nothing else reported	Update
PMC8261512	model/output	Classification	classification in benign or malignant	Update
PMC8261512	model/done	3	0	Update
PMC8261512	model/skip	1	0	Update
PMC8261512	evaluation/availability	Yes.	not available	Update
PMC8261512	evaluation/comparison	KStar, comparison vs. MLP, C4.5	no other methods are compared	Update
PMC8261512	evaluation/confidence	Yes	not provided	Update
PMC8261512	evaluation/measure	Rappel/Precision, AUR	AUC. sensitivity and specificity	Update
PMC8261512	evaluation/method	Cross validation	cross validation and independent set	Update
PMC8261512	evaluation/done	5	0	Update
PMC7142336	publication/pmid	32300371	32300371	Update
PMC7142336	publication/pmcid	None	PMC7142336	New_Key
PMC7142336	publication/updated	03/08/2022 12:38:13	0	Update
PMC7142336	publication/authors	Sang X, Xiao W, Zheng H, Yang Y, Liu T	Sang X, Xiao W, Zheng H, Yang Y, Liu T.	Update
PMC7142336	publication/journal	Comput Math Methods Med	Computational and mathematical methods in medicine	Update
PMC7142336	publication/year	2020	2020	Update
PMC7142336	publication/tags	[]	True	Update
PMC7142336	dataset/availability	"No download information provided, but article contains statement that ""the data will  be made available without undue reservation"""	yes, https://github.com/taigangliu/HMMPred	Update
PMC7142336	dataset/provenance	New cohort of 524 enrolled patients, 988 mammography images divided in 494 malignant and 494 benign masses.Data was preprocessed to be useful for DL work.  An additional validation set from another hospital is also used (58 patients). Not used before	Two published datasets from literature: PDB1075 (525 pos and 550 neg) and PDB186 (93 pos and 93 neg)	Update
PMC7142336	dataset/redundancy	No stratification effort	sequences with more than 25% sequence similarity were removed	Update
