title	authors	journal	year	pmid	pmcid	doi
Predicting Diagnosis of Alzheimer's Disease and Related Dementias Using Administrative Claims.	Albrecht JS, Hanna M, Kim D, Perfetto EM.	Journal of managed care & specialty pharmacy	2018	30362918	PMC10397649	10.18553/jmcp.2018.24.11.1138
Odor response adaptation in Drosophila-a continuous individualization process.	Jafari S, Alenius M.	Cell and tissue research	2021	33492517	PMC7873105	10.1007/s00441-020-03384-6
Translating knowledge on placebo and nocebo effects into clinical practice.	Caliskan EB, Bingel U, Kunkel A.	Pain reports	2024	38533458	PMC10965200	10.1097/pr9.0000000000001142
"Comment on ""Odontogenic Tumors: A Challenge for Clinical Diagnosis and an Opportunity for AI Innovation""."	Daungsupawong H, Wiwanitkit V.	Journal of dentistry (Shiraz, Iran)	2025	40092549	PMC11909406	10.30476/dentjods.2024.103266.2437
Non-Stationary Time Series Model for Station-Based Subway Ridership During COVID-19 Pandemic: Case Study of New York City.	Moghimi B, Kamga C, Safikhani A, Mudigonda S, Vicuna P.	Transportation research record	2023	37153164	PMC10152224	10.1177/03611981221084698
CASPR2-Related Morvan Syndrome: Autonomic, Polysomnographic, and Neuropsychological Observations.	Swayang PS, Nalini A, Preethish-Kumar V, Udupa K, Yadav R, Vengalil S, Reshma SS, Polavarapu K, Nashi S, Sathyaprabha TN, Treesa Thomas P, Maya B, Jamuna R, Mahadevan A, Netravathi M.	Neurology. Clinical practice	2021	34484901	PMC8382356	10.1212/cpj.0000000000000978
Genetic and environmental influences on individual differences in emotion regulation and its relation to working memory in toddlerhood.	Wang M, Saudino KJ.	Emotion (Washington, D.C.)	2013	24098922	PMC4108294	10.1037/a0033784
Stop and Flip: A Simple and Safe Phacoemulsification Technique.	Mohammadpour M, Khorrami-Nejad M.	Clinical optometry	2020	32214860	PMC7083636	10.2147/opto.s241811
Evaluating the Cost-Effectiveness of an Early Detection of Parkinson's Disease through Innovative Technology.	Munoz DA, Kilinc MS, Nembhard HB, Tucker C, Huang X.	The Engineering economist	2017	30135608	PMC6101669	10.1080/0013791x.2017.1294718
Survey of Neuroanatomic Sampling and Staining Procedures in Alzheimer Disease Research Center Brain Banks.	Vizcarra JC, Teich AF, Dugger BN, Gutman DA, Alzheimer’s Disease Research Center Digital Pathology Working Group.	Free neuropathology	2023	37347036	PMC10280272	10.17879/freeneuropathology-2023-4696
Artificial Intelligence in Cardiovascular Medicine.	Seetharam K, Shrestha S, Sengupta PP.	Current treatment options in cardiovascular medicine	2019	31089906	PMC7561035	10.1007/s11936-019-0728-1
Mechanism of assembly of type 4 filaments: everything you always wanted to know (but were afraid to ask).	Pelicic V.	Microbiology (Reading, England)	2023	36947586	PMC10191384	10.1099/mic.0.001311
Percutaneous sacroiliac screw fixation with a 3D robot-assisted image-guided navigation system : Technical solutions.	Link BC, Haveman RA, Van de Wall BJM, Baumgärtner R, Babst R, Beeres FJP, Haefeli PC.	Operative Orthopadie und Traumatologie	2025	39556213	PMC11790701	10.1007/s00064-024-00871-9
Comparison of beginning R students' perceptions of peer-made plots created in two plotting systems: a randomized experiment.	Myint L, Hadavand A, Jager L, Leek J.	Journal of statistics education : an international journal on the teaching and learning of statistics	2020	33762806	PMC7986299	10.1080/10691898.2019.1695554
Growth of HIV-1 Molecular Transmission Clusters in New York City.	Wertheim JO, Murrell B, Mehta SR, Forgione LA, Kosakovsky Pond SL, Smith DM, Torian LV.	The Journal of infectious diseases	2018	30010850	PMC6217720	10.1093/infdis/jiy431
Bisphenol A exposure during early development induces sex-specific changes in adult zebrafish social interactions.	Weber DN, Hoffmann RG, Hoke ES, Tanguay RL.	Journal of toxicology and environmental health. Part A	2015	25424546	PMC4246420	10.1080/15287394.2015.958419
Relation of clinical context to accuracy of simulator-based blood pressure measurement by first-year medical students.	Yamazaki Y, Hiyamizu I, Joyner K, Abe Y.	International journal of medical education	2018	30589414	PMC6387774	10.5116/ijme.5c0f.935c
Constrained <i>De Novo</i> Sequencing of neo-Epitope Peptides using Tandem Mass Spectrometry.	Li S, DeCourcy A, Tang H.	Research in computational molecular biology : ... Annual International Conference, RECOMB ... : proceedings. RECOMB (Conference : 2005- )	2018	31819927	PMC6901291	10.1007/978-3-319-89929-9_9
Detection of trans-cis flips and peptide-plane flips in protein structures.	Touw WG, Joosten RP, Vriend G.	Acta crystallographica. Section D, Biological crystallography	2015	26249342	PMC4528797	10.1107/s1399004715008263
Scoping Review of Technological Solutions for Community Dwelling Older Adults and Implications for Instrumental Activities of Daily Living.	Arioz U, Smrke U, Plohl N, Špes T, Musil B, Mlakar I.	Aging and disease	2024	38421834	PMC11745446	10.14336/ad.2024.0215
A Hybrid Task Graph Scheduler for High Performance Image Processing Workflows.	Blattner T, Keyrouz W, Bhattacharyya SS, Halem M, Brady M.	Journal of signal processing systems	2017	29104714	PMC5667679	10.1007/s11265-017-1262-6
Navigating a Context of Severe Uncertainty: The Effect of Industry Unsafety Signals on Employee Well-being During the COVID-19 Crisis.	LeNoble C, Naranjo A, Shoss M, Horan K.	Occupational health science	2023	37359454	PMC10183695	10.1007/s41542-023-00155-x
De novo prediction of the genomic components and capabilities for microbial plant biomass degradation from (meta-)genomes.	Weimann A, Trukhina Y, Pope PB, Konietzny SG, McHardy AC.	Biotechnology for biofuels	2013	23414703	PMC3585893	10.1186/1754-6834-6-24
2019 Association of Biomolecular Resource Facilities Multi-Laboratory Data-Independent Acquisition Proteomics Study.	Kirkpatrick J, Stemmer PM, Searle BC, Herring LE, Martin L, Midha MK, Phinney BS, Shan B, Palmblad M, Wang Y, Jagtap PD, Neely BA.	Journal of biomolecular techniques : JBT	2023	37435391	PMC10332336	10.7171/3fc1f5fe.9b78d780
Nonlinear Monte Carlo Methods with Polynomial Runtime for Bellman Equations of Discrete Time High-Dimensional Stochastic Optimal Control Problems.	Beck C, Jentzen A, Kleinberg K, Kruse T.	Applied mathematics and optimization	2025	39917582	PMC11794454	10.1007/s00245-024-10213-7
The Rising Significance of Soft Skills in Postgraduate Education: Nurturing Well-Rounded Professionals for the Modern World.	Quintans-Júnior LJ, Correia D, Martins-Filho PR.	Revista da Sociedade Brasileira de Medicina Tropical	2023	37792831	PMC10550096	10.1590/0037-8682-0245-2023
PSYCHIATRIC COMPARISON OF ARTIFICIAL MENOPAUSE AND THE EFFECTS OF HYSTERECTOMY.	Lewis AJ, Jackson J.	Journal of neurology and psychiatry	1940	21610968	PMC1088174	10.1136/jnnp.3.2.101
The unfurl of the coronavirus and its thwack on humans and the environment: a review.	Sivaranjanee R, Kumar PS.	Current opinion in environmental science & health	2021	34222734	PMC8233452	10.1016/j.coesh.2021.100289
In Situ Synchrotron and Neutron Characterization of Additively Manufactured Alloys.	Zhang F, Chen L, Bhattacharyya D.	JOM (Warrendale, Pa. : 1989)	2021	37051489	PMC10088062	10.1007/s11837-020-04489-7
Harnessing the Potential of Artificial Intelligence in Yoga Therapy.	Sinha N, Sinha RK.	International journal of yoga	2024	39959510	PMC11823551	10.4103/ijoy.ijoy_124_24
Weakly- and Semisupervised Probabilistic Segmentation and Quantification of Reverberation Artifacts.	Hung ALY, Chen E, Galeotti J.	BME frontiers	2022	37850165	PMC10521739	10.34133/2022/9837076
Emerging Frontiers of Neuroengineering: A Network Science of Brain Connectivity.	Bassett DS, Khambhati AN, Grafton ST.	Annual review of biomedical engineering	2017	28375650	PMC6005206	10.1146/annurev-bioeng-071516-044511
The role of site-2-proteases in bacteria: a review on physiology, virulence, and therapeutic potential.	Kristensen SS, Diep DB, Kjos M, Mathiesen G.	microLife	2023	37223736	PMC10202637	10.1093/femsml/uqad025
First Case of Regression of Carcinoid Heart Disease on Serial Transthoracic Echocardiograms following Octreotide Monotherapy in a Patient with Metastatic Pancreatic Neuroendocrine Tumor.	Nath E, Sawyer MB, Choy J.	Case reports in oncology	2020	33442370	PMC7772855	10.1159/000511414
Analysis of Prostate Cancer Tumor Microenvironment Identifies Reduced Stromal CD4 Effector T-cell Infiltration in Tumors with Pelvic Nodal Metastasis.	Ntala C, Salji M, Salmond J, Officer L, Teodosio AV, Blomme A, McGhee EJ, Powley I, Ahmad I, Kruithof-de Julio M, Thalmann G, Roberts E, Goodyear CS, Jamaspishvili T, Berman DM, Carlin LM, Le Quesne J, Leung HY.	European urology open science	2021	34337530	PMC8317840	10.1016/j.euros.2021.05.001
The first <i>Helicobacter pylori</i>-induced Guillain-Barré syndrome in Sudan.	Ahmed A, El-Sadig SM, Eltigani HF, Bongomin F, Siddig EE.	Clinical case reports	2023	38028082	PMC10645600	10.1002/ccr3.8204
Decision technologies and the independent professional: the future's challenge to learning and leadership.	Dowie J.	Quality in health care : QHC	2001	11700381	PMC1765759	10.1136/qhc.0100059..
Temporal pattern recognition with delayed feedback spin-torque nano-oscillators.	Riou M, Torrejon J, Garitaine B, Araujo FA, Bortolotti P, Cros V, Tsunegi S, Yakushiji K, Fukushima A, Kubota H, Yuasa S, Querlioz D, Stiles MD, Grollier J.	Physical review applied	2019	32118096	PMC7047780	10.1103/physrevapplied.12.024049
A Convolutional Neural Network for Improved Anomaly-Based Network Intrusion Detection.	Al-Turaiki I, Altwaijry N.	Big data	2021	34138657	PMC8233218	10.1089/big.2020.0263
Load balancing for multi-threaded PDES of stochastic reaction-diffusion in neurons.	Lin Z, Tropper C, Yao Y, Mcdougal RA, Ishlam Patoary MN, Lytton WW, Hines ML.	Journal of simulation : JOS	2017	29225664	PMC5720372	10.1057/s41273-016-0033-x
Low-cost scalable discretization, prediction, and feature selection for complex systems.	Gerber S, Pospisil L, Navandar M, Horenko I.	Science advances	2020	32064328	PMC6989146	10.1126/sciadv.aaw0961
Blastocyst culture in the Era of PGS and FreezeAlls: Is a 'C' a failing grade?	Morbeck DE.	Human reproduction open	2017	30895231	PMC6276670	10.1093/hropen/hox017
Development of minimal basic data set to report COVID-19.	Shanbehzadeh M, Kazemi-Arpanahi H.	Medical journal of the Islamic Republic of Iran	2020	33315989	PMC7722954	10.34171/mjiri.34.111
Applications of Artificial Intelligence and Machine Learning in Emergency Medicine Triage - A Systematic Review.	Almulihi QA, Alquraini AA, Almulihi FAA, Alzahid AA, Al Qahtani SSAJ, Almulhim M, Alqhtani SHS, Alnafea FMN, Mushni SAS, Alaqil NA, Assiri MIF, Maghraby NH.	Medical archives (Sarajevo, Bosnia and Herzegovina)	2024	39944197	PMC11813208	10.5455/medarh.2024.78.198-206
Existing evidence on the use of participatory scenarios in ecological restoration: a systematic map.	Durrant E, Howson P, Puttick B, Potts S, Shennan-Farpón Y, Sari N, Allen N, Yeongeun J, Grainger M, Teh YA, Pfeifer M.	Environmental evidence	2023	39294721	PMC11378857	10.1186/s13750-023-00314-1
Effort, symptom validity testing, performance validity testing and traumatic brain injury.	Bigler ED.	Brain injury	2014	25215453	PMC4673569	10.3109/02699052.2014.947627
An analysis of retracted COVID-19 articles published by one medical publisher with multiple journals.	Peterson CJ, Alexander RW, Yang S, Nugent K.	Proceedings (Baylor University. Medical Center)	2024	38628334	PMC11018089	10.1080/08998280.2024.2313333
Analyzing National Responses to COVID-19 Pandemic using STPA.	Chen S, Khastgir S, Jennings P.	Safety science	2021	33558791	PMC7859697	10.1016/j.ssci.2021.105195
Spliceosome mutations are associated with clinical response in a phase 1b/2 study of the PLK1 inhibitor onvansertib in combination with decitabine in relapsed or refractory acute myeloid leukemia.	Croucher PJP, Ridinger M, Becker PS, Lin TL, Silberman SL, Wang ES, Zeidan AM.	Annals of hematology	2023	37702821	PMC10567832	10.1007/s00277-023-05442-9
Stable RNA interference rules for silencing.	Fellmann C, Lowe SW.	Nature cell biology	2014	24366030	PMC4001088	10.1038/ncb2895
Designing solvent systems using self-evolving solubility databases and graph neural networks.	Kim Y, Jung H, Kumar S, Paton RS, Kim S.	Chemical science	2024	38239675	PMC10793204	10.1039/d3sc03468b
Palliative Care Need in India: A Systematic Review and Meta-analysis.	Chandra A, Debnath A, Nongkynrih B.	Indian journal of palliative care	2023	38058486	PMC10696344	10.25259/ijpc_140_2023
Inter-day test-retest reliability and feasibility of isokinetic, isometric, and isotonic measurements to assess quadriceps endurance in people with chronic obstructive pulmonary disease: A multicenter study.	Frykholm E, Géphine S, Saey D, van Hees H, Lemson A, Klijn P, Maltais F, Nyberg A.	Chronic respiratory disease	2019	30789016	PMC6302975	10.1177/1479973118816497
Improving pathway prediction accuracy of constraints-based metabolic network models by treating enzymes as microcompartments.	Yang X, Mao Z, Huang J, Wang R, Dong H, Zhang Y, Ma H.	Synthetic and systems biotechnology	2023	37743907	PMC10514394	10.1016/j.synbio.2023.09.002
Estimation of peak oxygen consumption in individuals with spinal cord injury patients using multiple linear regression analysis: a preliminary study.	Choi HH, Ahn H, Jung WS.	Physical activity and nutrition	2023	38297473	PMC10844726	10.20463/pan.2023.0034
How localized are computational templates? A machine learning approach.	Noichl M.	Synthese	2023	36936886	PMC10009358	10.1007/s11229-023-04057-x
Writing: The Art of Slowing Down Thinking.	Strowd RE.	Neurology. Education	2024	39359659	PMC11419334	10.1212/ne9.0000000000200155
Brain-Computer Interfaces for Communication and Control.	McFarland DJ, Wolpaw JR.	Communications of the ACM	2011	21984822	PMC3188401	10.1145/1941487.1941506
Understanding Neurogastroenterology From Neuroimaging Perspective: A Comprehensive Review of Functional and Structural Brain Imaging in Functional Gastrointestinal Disorders.	Kano M, Dupont P, Aziz Q, Fukudo S.	Journal of neurogastroenterology and motility	2018	30041284	PMC6175554	10.5056/jnm18072
Who approves/pays for additional monitoring?	Rosano GMC, Spoletini I, Vitale C.	European heart journal supplements : journal of the European Society of Cardiology	2019	31908621	PMC6937509	10.1093/eurheartj/suz228
Analytical Validation of Telomere Analysis Technology® for the High-Throughput Analysis of Multiple Telomere-Associated Variables.	de Pedro N, Díez M, García I, García J, Otero L, Fernández L, García B, González R, Rincón S, Pérez D, Rodríguez E, Segovia E, Najarro P.	Biological procedures online	2020	31956299	PMC6961256	10.1186/s12575-019-0115-z
Unlocking the Effect of H<sub>2</sub>O on CO<sub>2</sub> Separation Performance of Promising MOFs Using Atomically Detailed Simulations.	Erucar I, Keskin S.	Industrial & engineering chemistry research	2020	32201455	PMC7076730	10.1021/acs.iecr.9b05487
Treatment of trunk defects using perforator flaps: A case series introducing suprascapular artery perforator flap.	Dietrich S, Panchulidze I.	JPRAS open	2024	39498285	PMC11532731	10.1016/j.jpra.2024.09.015
Technology Platforms and Approaches for Building and Evaluating Machine Learning Methods in Healthcare.	Mooney SD.	The journal of applied laboratory medicine	2023	36610427	PMC10729736	10.1093/jalm/jfac113
Reconciling the Potentially Irreconcilable? Genotypic and Phenotypic Amoxicillin-Clavulanate Resistance in <i>Escherichia coli</i>.	Davies TJ, Stoesser N, Sheppard AE, Abuoun M, Fowler P, Swann J, Quan TP, Griffiths D, Vaughan A, Morgan M, Phan HTT, Jeffery KJ, Andersson M, Ellington MJ, Ekelund O, Woodford N, Mathers AJ, Bonomo RA, Crook DW, Peto TEA, Anjum MF, Walker AS.	Antimicrobial agents and chemotherapy	2020	32205351	PMC7269502	10.1128/aac.02026-19
Tentacular Faces: Race and the Return of the Phenotype in Forensic Identification.	M'charek A.	American anthropologist	2020	32999495	PMC7507834	10.1111/aman.13385
Respiratory Biofeedback Does Not Facilitate Lowering Arousal in Meditation Through Virtual Reality.	Tinga AM, Nyklíček I, Jansen MP, de Back TT, Louwerse MM.	Applied psychophysiology and biofeedback	2019	30377895	PMC6373281	10.1007/s10484-018-9421-5
Cauterization of the root of the left coronary artery as a straightforward, large and reproducible ischemic injury model in neonatal mice.	Hu T, Fleischmann BK, Malek Mohammadi M.	Lab animal	2024	39438662	PMC11518978	10.1038/s41684-024-01443-x
Machine-Learning Approach for Identifying Arsenic-Contamination Hot Spots: The Search for the Needle in the Haystack.	Donselaar ME, Khanam S, Ghosh AK, Corroto C, Ghosh D.	ACS ES&T water	2024	39144680	PMC11320562	10.1021/acsestwater.4c00422
Advances in the genetic classification of amyotrophic lateral sclerosis.	Cooper-Knock J, Harvey C, Zhang S, Moll T, Timpanaro IS, Kenna KP, Iacoangeli A, Veldink JH.	Current opinion in neurology	2021	34343141	PMC7612116	10.1097/wco.0000000000000986
Desert Island Papers.	Baker K, Dalley JW.	Brain and neuroscience advances	2023	37736162	PMC10510345	10.1177/23982128231199006
Comparative efficacy of different noninvasive brain stimulation therapies for recovery of global cognitive function, attention, memory, and executive function after stroke: a network meta-analysis of randomized controlled trials.	Wang Y, Liu W, Chen J, Bai J, Yu H, Ma H, Rao J, Xu G.	Therapeutic advances in chronic disease	2023	37332390	PMC10272674	10.1177/20406223231168754
Growth adaptability and stability in <i>Catalpa bungei</i> clones: the role of genetics and environment.	Xiao Y, Wang Z, Wang J, Yun H, Ling J, Zhai W, Zhao K, Yu X, Ma W.	Forestry research	2025	40028426	PMC11870305	10.48130/forres-0025-0003
Inhalation Anesthesia-Induced Neuronal Damage and Gene Expression Changes in Developing Rat Brain.	Liu F, Guo L, Zhang J, Rainosek SW, Shi L, Patterson TA, Li QZ, Sadovova N, Hanig JP, Paule MG, Slikker W, Wang C.	Systems pharmacology	2013	29309069	PMC5755976	10.2478/sph-2012-0001
Implementing a rapid-learning health system in early intervention services for psychosis: qualitative evaluation of its feasibility and acceptability.	Ferrari M, Saulnier MS, Iyer SN, Roy MA, Abdel-Baki A.	Health research policy and systems	2025	40087675	PMC11909817	10.1186/s12961-024-01281-w
Epigenetic Approaches to Identifying Asthma Endotypes.	Kelly A, Lavender P.	Allergy, asthma & immunology research	2024	38528381	PMC10973632	10.4168/aair.2024.16.2.130
Multimodality Image Fusion with PSMA PET/CT and High-Intensity Focused Ultrasound Focal Therapy for Primary Diagnosis and Management of Prostate Cancer: A Planned Research Initiative.	Javitt MC, Kravtsov A, Keidar Z, Abadi S, Amiel GE.	Rambam Maimonides medical journal	2017	28777073	PMC5652928	10.5041/rmmj.10312
Accuracy of models to prognosticate survival after surgery for pancreatic cancer in the era of neoadjuvant therapy.	Marcinak CT, Parker WF, Parikh AA, Datta J, Maithel SK, Kooby DA, Burkard ME, Kim HJ, LeCompte MT, Afshar M, Churpek MM, Zafar SN.	Journal of surgical oncology	2023	37073788	PMC10330210	10.1002/jso.27287
Workload in the Austrian IT-sector regarding leadership roles.	Gren M.	Frontiers in sociology	2024	39886521	PMC11780676	10.3389/fsoc.2024.1414420
A critical review of current laboratory methods used to evaluate mosquito repellents.	Luker HA.	Frontiers in insect science	2024	38469342	PMC10926509	10.3389/finsc.2024.1320138
Practice Implications of Expanded Genetic Testing in Oncology.	Korngiebel DM, Zech JM, Chappelle A, Burke W, Carline JD, Gallagher TH, Fullerton SM.	Cancer investigation	2019	30676118	PMC6410730	10.1080/07357907.2018.1564926
The Third Man: comparative analysis of a science autobiography and a cinema classic as windows into post-war life sciences research.	Zwart H.	History and philosophy of the life sciences	2015	26205203	PMC4666239	10.1007/s40656-015-0080-z
Evaluation of Aortic Diseases Using Four-Dimensional Flow Magnetic Resonance Imaging.	Koo HJ, Ha H, Lee GH, Lee JE, Park SH, Park KJ, Kang JW, Yang DH.	Vascular specialist international	2024	39690708	PMC11652966	10.5758/vsi.240066
Implementation of Patient-Individualized 3D-Printed Models in Undergraduate Students' Education for Various Prosthetic Treatments: A Cross-Sectional Survey Study.	Klink A, Engelskirchen F, Kaucher-Fernandez P, Huettig F, Roehler A.	Dentistry journal	2024	39056986	PMC11276254	10.3390/dj12070199
Impact of sacral surface therapeutic electrical stimulation on early recovery of urinary continence after radical retropubic prostatectomy: a pilot study.	Nakagawa H, Kaiho Y, Namiki S, Ishidoya S, Saito S, Arai Y.	Advances in urology	2010	20454700	PMC2862314	10.1155/2010/102751
Change-Point Detection Method for Clinical Decision Support System Rule Monitoring.	Liu S, Wright A, Hauskrecht M.	Artificial intelligence in medicine. Conference on Artificial Intelligence in Medicine (2005- )	2017	28795172	PMC5546760	10.1007/978-3-319-59758-4_14
Prototypes for automating product system model assembly.	Kuczenski B, Mutel C, Srocka M, Scanlon K, Ingwersen W.	The international journal of life cycle assessment	2021	34017158	PMC8128697	10.1007/s11367-021-01870-9
Saliency-Enhanced Content-Based Image Retrieval for Diagnosis Support in Dermatology Consultation: Reader Study.	Gassner M, Barranco Garcia J, Tanadini-Lang S, Bertoldo F, Fröhlich F, Guckenberger M, Haueis S, Pelzer C, Reyes M, Schmithausen P, Simic D, Staeger R, Verardi F, Andratschke N, Adelmann A, Braun RP.	JMIR dermatology	2023	37616039	PMC10485719	10.2196/42129
Rehabilitation after stroke.	Knecht S, Hesse S, Oster P.	Deutsches Arzteblatt international	2011	21966318	PMC3183303	10.3238/arztebl.2011.0600
[Factors influencing the implementation of AI-based decision support systems for antibiotic prescription in hospitals: a qualitative analysis from the perspective of health professionals].	Tokgöz P, Hafner J, Dockweiler C.	Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany))	2023	37451276	PMC10713341	10.1055/a-2098-3108
Measuring multivariate association and beyond.	Josse J, Holmes S.	Statistics surveys	2016	29081877	PMC5658146	10.1214/16-ss116
Ethical and Safety Issues in Doing Sex Work Research: Reflections From a Field-Based Ethnographic Study in Kolkata, India.	Sinha S.	Qualitative health research	2017	27651071	PMC5865471	10.1177/1049732316669338
Decoding thermal properties in polymer-inorganic heat dissipators: a data-driven approach using pyrolysis mass spectrometry.	Hibi Y, Tsuyuki Y, Ishii S, Ide E, Naito M.	Science and technology of advanced materials	2024	38882257	PMC11177714	10.1080/14686996.2024.2362125
Risk factors for renal outcomes in children with antineutrophil cytoplasmic antibody-associated vasculitis: a nationwide retrospective study in China.	Tan LW, Wan JL, Zhu CH, Xu H, Xia ZK, Chen LZ, Wu XC, Wang F, Liu XR, Zhao CG, Li XZ, Mao JH, Wang XW, Huang WY, Li YH, Zhang JJ, Feng SP, Yang J, Liu JJ, Gao CL, Rong LP, Shuai LJ, Xu K, Zhang HJ, Li Q, Zhang AH, Wang M.	World journal of pediatrics : WJP	2024	37853276	PMC11136751	10.1007/s12519-023-00753-3
High-dimensional Metaverse Platforms and the Virtually Extended Self.	Parsons TD.	Journal of cognition	2024	38223229	PMC10785999	10.5334/joc.327
The Organizers' Goals.	Spiegelman CH, Watters RL, Sacks J.	Journal of research of the National Bureau of Standards (1977)	1985	34566169	PMC6644967	10.6028/jres.090.030
A Survey of Challenges and Opportunities in Sensing and Analytics for Risk Factors of Cardiovascular Disorders.	Hurley NC, Spatz ES, Krumholz HM, Jafari R, Mortazavi BJ.	ACM transactions on computing for healthcare	2021	34337602	PMC8320445	10.1145/3417958
Risk perception and risk communication for training women apprentice welders: a challenge for public health nursing.	Bonow CA, Cezar-Vaz MR, de Almeida MC, Rocha LP, Borges AM, Piexak DR, Vaz JC.	Nursing research and practice	2013	24288604	PMC3833020	10.1155/2013/386260
Identifying residential neighbourhood types from settlement points in a machine learning approach.	Jochem WC, Bird TJ, Tatem AJ.	Computers, environment and urban systems	2018	29725149	PMC5863080	10.1016/j.compenvurbsys.2018.01.004
Harnessing big 'omics' data and AI for drug discovery in hepatocellular carcinoma.	Chen B, Garmire L, Calvisi DF, Chua MS, Kelley RK, Chen X.	Nature reviews. Gastroenterology & hepatology	2020	31900465	PMC7401304	10.1038/s41575-019-0240-9
Protein aggregation: in silico algorithms and applications.	Prabakaran R, Rawat P, Thangakani AM, Kumar S, Gromiha MM.	Biophysical reviews	2021	33747245	PMC7930180	10.1007/s12551-021-00778-w
Ultrasound in Rheumatology, It is a Must.	Corominas H, Badlissi F.	European journal of rheumatology	2024	39308354	PMC11459606	10.5152/eurjrheum.2024.250324
Sawbones laboratory in orthopedic surgical training.	Hetaimish BM.	Saudi medical journal	2016	27052276	PMC4852011	10.15537/smj.2016.4.13575
Automated Cell Detection and Morphometry on Growth Plate Images of Mouse Bone.	Ascenzi M, Du X, Harding JI, Beylerian EN, de Silva BM, Gross BJ, Kastein HK, Wang W, Lyons KM, Schaeffer H.	Applied mathematics	2014	25525552	PMC4267696	10.4236/am.2014.518273
Automation and adaptation: Nurses' problem-solving behavior following the implementation of bar coded medication administration technology.	Holden RJ, Rivera-Rodriguez AJ, Faye H, Scanlon MC, Karsh BT.	Cognition, technology & work (Online)	2013	24443642	PMC3891738	10.1007/s10111-012-0229-4
Existing trends and applications of artificial intelligence in urothelial cancer A scoping review.	Malik S, Wu J, Bodnariuc N, Narayana K, Gupta N, Malik M, Kwong JCC, Khondker A, Johnson AEW, Kulkarni GS.	Canadian Urological Association journal = Journal de l'Association des urologues du Canada	2023	37549345	PMC10657228	10.5489/cuaj.8322
The neuroblastoma tumor microenvironment: From an in-depth characterization towards novel therapies.	Louault K, De Clerck YA, Janoueix-Lerosey I.	EJC paediatric oncology	2024	39036648	PMC11259008	10.1016/j.ejcped.2024.100161
Relationship between microbiota awareness, nutrition literacy, and health literacy among adolescents.	Ülker İ, Aydin MA, Yildiz M, Gökçay G, Elkoca A, Yildirim MS, Tanimowo A, Yilmaz DA.	Turkish journal of medical sciences	2024	39473736	PMC11518376	10.55730/1300-0144.5871
Gene expression profile comparison in the penile tissue of diabetes and cavernous nerve injury-induced erectile dysfunction rat model.	Kam SC, Lee SH, Jeon JH, So I, Chae MR, Park JK, Lee SW.	Investigative and clinical urology	2016	27437539	PMC4949699	10.4111/icu.2016.57.4.286
Probing TCR Specificity Using Artificial In Vivo Diversification of CDR3 Regions.	Giorgetti OB, Haas-Assenbaum A, Boehm T.	European journal of immunology	2025	39623867	PMC11739678	10.1002/eji.202451434
Understanding the use of artificial intelligence for implant analysis in total joint arthroplasty: a systematic review.	Shah AK, Lavu MS, Hecht CJ, Burkhart RJ, Kamath AF.	Arthroplasty (London, England)	2023	37919812	PMC10623774	10.1186/s42836-023-00209-z
HISTÓRIA, CIÊNCIAS, SAÚDE - MANGUINHOS IN 2023: A YEAR OF CHANGE.	Cerqueira RC, Cueto M.	Historia, ciencias, saude--Manguinhos	2024	39082511	PMC11277584	10.1590/s0104-59702024000100035en
The future of industry 4.0 and supply chain resilience after the COVID-19 pandemic: Empirical evidence from a Delphi study.	Spieske A, Gebhardt M, Kopyto M, Birkel H, Hartmann E.	Computers & industrial engineering	2023	37273574	PMC10214766	10.1016/j.cie.2023.109344
Force Tracking with Feed-Forward Motion Estimation for Beating Heart Surgery.	Yuen SG, Perrin DP, Vasilyev NV, Del Nido PJ, Howe RD.	IEEE transactions on robotics : a publication of the IEEE Robotics and Automation Society	2010	29375279	PMC5785919	10.1109/tro.2010.2053734
Lipidomics, Acute Ischemic Stroke, Symptoms, and Outcomes: Observational Study Protocol.	Martha SR, Pen AY, McGuire LS, Alaraj A, Maienschein-Cline M, Basu S, Loeb JA, Thompson HJ, Thompson HJ.	Nursing research	2023	36988482	PMC10293104	10.1097/nnr.0000000000000657
Medicine and generative artificial intelligence.	Wen CL.	Revista brasileira de medicina do trabalho : publicacao oficial da Associacao Nacional de Medicina do Trabalho-ANAMT	2024	39165524	PMC11333062	10.47626/1679-4435-2024-221
Realizing Molecular Machine Learning through Communications for Biological AI: Future Directions and Challenges.	Balasubramaniam S, Somathilaka S, Sun S, Ratwatte A, Pierobon M.	IEEE nanotechnology magazine	2023	38855043	PMC11160936	10.1109/mnano.2023.3262099
Cost-effectiveness analysis of heart rate characteristics monitoring to improve survival for very low birth weight infants.	King WE, Carlo WA, O'Shea TM, Schelonka RL.	Frontiers in health services	2022	36925786	PMC10012671	10.3389/frhs.2022.960945
Morphology of the human aorta and age-related changes: anatomical facts.	Komutrattananont P, Mahakkanukrauh P, Das S.	Anatomy & cell biology	2019	31338225	PMC6624342	10.5115/acb.2019.52.2.109
Point-of-Care Ultrasound Education for Pediatric Residents in the Pediatric Intensive Care Unit.	Good R, Orsborn J, Stidham T.	MedEdPORTAL : the journal of teaching and learning resources	2018	30800883	PMC6342342	10.15766/mep_2374-8265.10683
